"Issue Type","Summary","Description","Priority","Story Points","Labels","Component","Epic Link","Fix Version","Acceptance Criteria"
"Story","US-ASSIGN-01 Affecter une ressource","En tant que responsable des ressources, je veux affecter une ressource a un utilisateur ou departement afin d'en suivre l'utilisation. Acteur: responsable des ressources. Dependances: US-RES-01, US-DEPT-01, US-USER-01. Strategie de test: test indisponibilite apres affectation; test historique.","P1","5","functional,unit-test,mvp","Affectations","Gestion affectations","R5 - Affectations","seule une ressource disponible est affectable; beneficiaire obligatoire; statut ressource mis a jour; historique cree."
"Story","US-ASSIGN-02 Retourner une ressource","En tant que responsable des ressources, je veux enregistrer le retour d'une ressource afin de la rendre disponible ou de signaler un probleme. Acteur: responsable des ressources. Dependances: US-ASSIGN-01. Strategie de test: test cloture affectation; test remise a disposition.","P1","3","functional,unit-test,mvp","Affectations","Gestion affectations","R5 - Affectations","affectation cloturee; etat ressource mis a jour; commentaire possible; historique conserve."
"Story","US-ASSIGN-03 Historique affectation","En tant que responsable des ressources, je veux consulter l'historique d'une ressource afin de connaitre ses utilisations successives. Acteur: responsable des ressources. Dependances: US-ASSIGN-01. Strategie de test: test ordre chronologique; test exhaustivite historique.","P2","3","functional,unit-test","Affectations","Gestion affectations","R5 - Affectations","historique chronologique; beneficiaires affiches; dates d'affectation et retour visibles."
"Story","US-MAINT-01 Signaler une panne","En tant qu'enseignant, je veux signaler une panne afin qu'une ressource defectueuse soit prise en charge. Acteur: enseignant. Dependances: US-RES-01, US-AUTH-03. Strategie de test: test creation signalement; test champs obligatoires.","P1","3","functional,unit-test,mvp","Maintenance","Gestion maintenance","R6 - Maintenance","ressource identifiee; description obligatoire; niveau d'urgence renseignable; dossier cree."
"Story","US-MAINT-02 Rediger un constat","En tant que technicien maintenance, je veux renseigner un diagnostic afin de decider du traitement adapte. Acteur: technicien maintenance. Dependances: US-MAINT-01. Strategie de test: test transition vers diagnostic; test conservation du constat.","P1","3","functional,unit-test,mvp","Maintenance","Gestion maintenance","R6 - Maintenance","diagnostic obligatoire; statut mis a jour; decision initiale indiquee."
"Story","US-MAINT-03 Suivre une intervention","En tant que technicien maintenance, je veux suivre une intervention afin de connaitre son avancement et son resultat. Acteur: technicien maintenance. Dependances: US-MAINT-02. Strategie de test: test cycle de vie maintenance; test mise a jour etat ressource.","P1","5","functional,unit-test,mvp","Maintenance","Gestion maintenance","R6 - Maintenance","statut intervention; dates de debut et fin; resultat renseigne; ressource mise a jour."
"Story","US-MAINT-04 Gerer un retour fournisseur","En tant que responsable des ressources, je veux creer un retour fournisseur afin de suivre une reparation ou un remplacement externe. Acteur: responsable des ressources. Dependances: US-MAINT-02, US-SUP-01. Strategie de test: test creation retour; test cloture par reparation ou remplacement.","P2","5","functional,unit-test","Maintenance","Gestion maintenance","R6 - Maintenance","fournisseur associe; motif renseigne; statut retour suivi; decision finale tracee."
"Story","US-NOTIF-01 Notifier un changement","En tant qu'utilisateur concerne, je veux etre notifie lorsqu'une demande ou une ressource change d'etat afin de rester informe. Acteur: utilisateurs concernes. Dependances: modules declencheurs. Strategie de test: test creation notification; test destinataire.","P1","3","functional,unit-test","Notifications","Notifications et traçabilité","R2 - Departements et besoins","notification creee lors d'un changement important; destinataire coherent; notification consultable."
"Story","US-AUDIT-01 Journaliser les actions","En tant qu'administrateur, je veux consulter les traces des actions sensibles afin d'assurer la responsabilite des acteurs. Acteur: administrateur. Dependances: US-AUTH-03. Strategie de test: test generation trace; test autorisation lecture.","P0","5","functional,security,unit-test,mvp","Audit","Notifications et traçabilité","R1 - Authentification et utilisateurs","auteur, date, action et objet traces; consultation reservee aux roles autorises; traces non modifiables par utilisateurs standards."
"Story","US-NOTIF-02 Consulter notifications","En tant qu'utilisateur, je veux consulter mes notifications afin de suivre les evenements qui me concernent. Acteur: tous les utilisateurs internes. Dependances: US-NOTIF-01. Strategie de test: test isolation par utilisateur; test marquage lu.","P2","3","functional,unit-test","Notifications","Notifications et traçabilité","R5 - Affectations","liste des notifications personnelles; statut lu ou non lu; tri chronologique."
"Story","US-TEST-01 Strategie tests unitaires","En tant qu'equipe projet, je veux definir les regles de tests unitaires afin de garantir les comportements critiques. Acteur: equipe projet. Dependances: cadrage technique. Strategie de test: revue documentaire; validation par l'equipe.","P0","2","architecture,unit-test,documentation,mvp","Tests","Tests qualité","R1 - Authentification et utilisateurs","conventions de nommage; criteres de couverture; priorite sur regles metier critiques."
"Story","US-TEST-02 Tester regles critiques","En tant qu'equipe projet, je veux tester les validations et transitions d'etat afin de limiter les regressions. Acteur: equipe projet. Dependances: modules fonctionnels implementes. Strategie de test: tests unitaires automatises et tests d'integration cibles.","P0","5","unit-test,functional,mvp","Tests","Tests qualité","R7 - Tests, securite et qualite","cas nominaux; cas d'erreur; transitions d'etat couvertes."
"Story","US-CICD-01 Automatiser verifications","En tant qu'equipe projet, je veux lancer automatiquement les tests et controles qualite afin de securiser les changements. Acteur: equipe projet. Dependances: US-TEST-01, structure technique. Strategie de test: execution volontaire du pipeline; verification des echecs et succes.","P2","3","ci-cd,unit-test,documentation","CICD","CI/CD et déploiement","R8 - CI/CD, deploiement et rapport final","pipeline declenche sur changement; tests executes; resultat visible."
"Story","US-CICD-02 Definir deploiement cible","En tant qu'equipe projet, je veux definir une strategie de deploiement afin de livrer l'application de maniere reproductible. Acteur: equipe projet. Dependances: architecture stabilisee. Strategie de test: revue documentaire; simulation de scenario de livraison.","P2","3","ci-cd,architecture,documentation","CICD","CI/CD et déploiement","R8 - CI/CD, deploiement et rapport final","environnement cible documente; variables identifiees; rollback decrit."
"Story","US-DOC-01 Documenter architecture","En tant qu'equipe projet, je veux documenter l'architecture afin d'expliquer les choix techniques et fonctionnels. Acteur: equipe projet. Dependances: cadrage, backlog, choix techniques. Strategie de test: revue croisee; coherence avec implementation future.","P1","3","architecture,documentation","Documentation","Documentation et rapport final","R0 - Cadrage et socle projet","diagrammes prevus; decisions argumentees; liens avec les exigences."
"Story","US-DOC-02 Preparer rapport final","En tant qu'equipe projet, je veux produire un rapport final afin de presenter la demarche, les choix, les tests et la CI/CD. Acteur: equipe projet. Dependances: toutes les releases. Strategie de test: revue finale; controle de coherence avec les livrables.","P1","5","documentation,ci-cd,architecture","Documentation","Documentation et rapport final","R8 - CI/CD, deploiement et rapport final","contexte; architecture; backlog; tests; CI/CD; bilan et limites."
